cohort,site,layer,direction,control,label_scope,pairs,mean_cross_minus_control,recipient_weighted_cross_minus_control
grid_train_followup,answer_prefix,30,denoising,same_label_resampled,all_emitted_pairs,12,0.96875,0.96875
grid_train_followup,answer_prefix,30,noising,same_label_resampled,all_emitted_pairs,18,0.8472222222222222,0.8472222222222222
grid_train_followup,final_prompt,13,denoising,same_label_resampled,all_emitted_pairs,12,0.0,0.0
grid_train_followup,final_prompt,13,noising,same_label_resampled,all_emitted_pairs,18,-0.020833333333333332,-0.020833333333333332
grid_train_followup,answer_prefix,30,denoising,same_label_resampled,strict_boundary_pairs,12,0.96875,0.96875
grid_train_followup,answer_prefix,30,noising,same_label_resampled,strict_boundary_pairs,18,0.8472222222222222,0.8472222222222222
grid_train_followup,final_prompt,13,denoising,same_label_resampled,strict_boundary_pairs,12,0.0,0.0
grid_train_followup,final_prompt,13,noising,same_label_resampled,strict_boundary_pairs,18,-0.020833333333333332,-0.020833333333333332
grid_train_followup,answer_prefix,30,denoising,training_group_mean,all_emitted_pairs,21,0.40476190476190477,0.40476190476190477
grid_train_followup,answer_prefix,30,noising,training_group_mean,all_emitted_pairs,20,0.4875,0.4875
grid_train_followup,final_prompt,13,denoising,training_group_mean,all_emitted_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,training_group_mean,all_emitted_pairs,20,-0.01875,-0.01875
grid_train_followup,answer_prefix,30,denoising,training_group_mean,strict_boundary_pairs,21,0.40476190476190477,0.40476190476190477
grid_train_followup,answer_prefix,30,noising,training_group_mean,strict_boundary_pairs,20,0.4875,0.4875
grid_train_followup,final_prompt,13,denoising,training_group_mean,strict_boundary_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,training_group_mean,strict_boundary_pairs,20,-0.01875,-0.01875
grid_train_followup,answer_prefix,30,denoising,off_target,all_emitted_pairs,21,0.9285714285714286,0.9285714285714286
grid_train_followup,answer_prefix,30,noising,off_target,all_emitted_pairs,20,0.8875,0.8875
grid_train_followup,final_prompt,13,denoising,off_target,all_emitted_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,off_target,all_emitted_pairs,20,-0.0125,-0.0125
grid_train_followup,answer_prefix,30,denoising,off_target,strict_boundary_pairs,21,0.9285714285714286,0.9285714285714286
grid_train_followup,answer_prefix,30,noising,off_target,strict_boundary_pairs,20,0.8875,0.8875
grid_train_followup,final_prompt,13,denoising,off_target,strict_boundary_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,off_target,strict_boundary_pairs,20,-0.0125,-0.0125
grid_train_followup,answer_prefix,30,denoising,self_patch,all_emitted_pairs,21,0.9285714285714286,0.9285714285714286
grid_train_followup,answer_prefix,30,noising,self_patch,all_emitted_pairs,20,0.8875,0.8875
grid_train_followup,final_prompt,13,denoising,self_patch,all_emitted_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,self_patch,all_emitted_pairs,20,-0.0125,-0.0125
grid_train_followup,answer_prefix,30,denoising,self_patch,strict_boundary_pairs,21,0.9285714285714286,0.9285714285714286
grid_train_followup,answer_prefix,30,noising,self_patch,strict_boundary_pairs,20,0.8875,0.8875
grid_train_followup,final_prompt,13,denoising,self_patch,strict_boundary_pairs,21,0.005952380952380952,0.005952380952380952
grid_train_followup,final_prompt,13,noising,self_patch,strict_boundary_pairs,20,-0.0125,-0.0125
