split,reliability,agreement_slope,intercept,bayes_slope
test,0.05,0.2643229166666666,-0.4042968749999997,-2.9444389791664403
test,0.15,0.26041666666666663,-0.3378906249999999,-1.7346010553881064
test,0.25,0.24479166666666663,-0.36718749999999983,-1.0986122886681098
test,0.35,0.27213541666666663,-0.3574218749999999,-0.6190392084062235
test,0.45,0.29296874999999994,-0.3593749999999999,-0.20067069546215124
test,0.55,0.33333333333333326,-0.2578124999999999,0.2006706954621514
test,0.65,0.3411458333333333,-0.25195312499999994,0.6190392084062236
test,0.75,0.3528645833333333,-0.18945312499999986,1.0986122886681098
test,0.85,0.3776041666666665,-0.19726562499999997,1.7346010553881064
test,0.95,0.39973958333333326,-0.16601562499999992,2.9444389791664394
train,0.05,0.25105337078651685,-0.5025111607142858,-2.9444389791664403
train,0.15,0.24859550561797744,-0.44754464285714274,-1.7346010553881064
train,0.25,0.2452598314606741,-0.48046874999999983,-1.0986122886681098
train,0.35,0.25912921348314605,-0.48074776785714285,-0.6190392084062235
train,0.45,0.2663272471910112,-0.49441964285714274,-0.20067069546215124
train,0.55,0.31197331460674155,-0.41127232142857145,0.2006706954621514
train,0.65,0.32233146067415724,-0.3981584821428572,0.6190392084062236
train,0.75,0.32338483146067415,-0.3353794642857144,1.0986122886681098
train,0.85,0.34638342696629204,-0.34040178571428564,1.7346010553881064
train,0.95,0.3583216292134831,-0.314453125,2.9444389791664394
