split,reliability,non_tie_rows,schedules,emitted_accuracy,boundary_logit_accuracy,emitted_logit_disagreement
test,0.05,44,7,0.3181818181818182,0.29545454545454547,0.06818181818181818
test,0.15,44,7,0.3181818181818182,0.2727272727272727,0.11363636363636363
test,0.25,44,7,0.3181818181818182,0.29545454545454547,0.022727272727272728
test,0.35,44,7,0.2727272727272727,0.2727272727272727,0.045454545454545456
test,0.45,44,7,0.2727272727272727,0.2727272727272727,0.022727272727272728
test,0.55,44,7,0.8181818181818182,0.7272727272727273,0.11363636363636363
test,0.65,44,7,0.7954545454545454,0.7272727272727273,0.11363636363636363
test,0.75,44,7,0.7954545454545454,0.7727272727272727,0.06818181818181818
test,0.85,44,7,0.8181818181818182,0.7727272727272727,0.06818181818181818
test,0.95,44,7,0.7954545454545454,0.75,0.06818181818181818
train,0.05,292,48,0.339041095890411,0.3253424657534247,0.04794520547945205
train,0.15,292,48,0.3184931506849315,0.3219178082191781,0.05821917808219178
train,0.25,292,48,0.3321917808219178,0.3321917808219178,0.0410958904109589
train,0.35,292,48,0.3184931506849315,0.3219178082191781,0.04794520547945205
train,0.45,292,48,0.3253424657534247,0.3184931506849315,0.04452054794520548
train,0.55,292,48,0.7431506849315068,0.6952054794520548,0.0684931506849315
train,0.65,292,48,0.7397260273972602,0.702054794520548,0.0684931506849315
train,0.75,292,48,0.75,0.7191780821917808,0.07191780821917808
train,0.85,292,48,0.7773972602739726,0.7226027397260274,0.06164383561643835
train,0.95,292,48,0.791095890410959,0.7294520547945206,0.07876712328767123
