row_id,schedule,split,reliability,reliability_exact,delta_a,z_bayes,z_heuristic,margin,emitted_choice,emitted_correct,non_tie,logit_choice,logit_correct,emitted_logit_disagree
47f89f048506582277f19c76,0,test,0.05,1/20,2.0,-5.888877958332881,5.888877958332881,-0.5,C2,True,True,C2,True,False
05f90bb0a9a77a751a36a3a2,0,test,0.05,1/20,0.0,-0.0,0.0,-0.75,C2,,False,C2,False,False
488fc59b80e9d7ab593e7470,0,test,0.05,1/20,2.0,-5.888877958332881,5.888877958332881,-0.5,C2,True,True,C2,True,False
abea235d25b9e1bd8de634b9,0,test,0.05,1/20,0.0,-0.0,0.0,-1.125,C2,,False,C2,False,False
fba8dad10e502c60c91d1bb7,0,test,0.05,1/20,0.0,-0.0,0.0,-1.375,C2,,False,C2,False,False
4bf5fdce5f1a32ba2618fabe,0,test,0.05,1/20,-2.0,5.888877958332881,-5.888877958332881,-1.25,C2,False,True,C2,False,False
0c415284a90940501320a4bb,0,test,0.05,1/20,0.0,-0.0,0.0,-1.375,C2,,False,C2,False,False
1732f186cb49c0978d3b61cd,0,test,0.05,1/20,-2.0,5.888877958332881,-5.888877958332881,-1.75,C2,False,True,C2,False,False
5767ab1fd8ea4fbc02782e42,1,test,0.05,1/20,1.0,-2.9444389791664407,2.9444389791664407,-0.125,C2,True,True,C2,True,False
f6376686f6dc7a67f6cbd530,1,test,0.05,1/20,1.0,-2.9444389791664407,2.9444389791664407,0.0,C1,False,True,TIE,False,True
81fea19b85a6734ac2bbb60b,1,test,0.05,1/20,1.0,-2.9444389791664407,2.9444389791664407,0.125,C1,False,True,C1,False,False
1212f7b2d4f2941fda61ce93,1,test,0.05,1/20,1.0,-2.9444389791664407,2.9444389791664407,0.125,C1,False,True,C1,False,False
5db482b5311be9c87ef74af1,1,test,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,-0.875,C2,False,True,C2,False,False
b99f92d0b0996d66127b62f8,1,test,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,-0.625,C2,False,True,C2,False,False
328512ae916fce455fd2a196,1,test,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,-0.375,C2,False,True,C2,False,False
6a6826fae082779a7533600c,1,test,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.0,C2,False,True,TIE,False,True
88f6af18be9a5bf9d7ec2fb5,2,test,0.05,1/20,0.0,-0.0,0.0,-0.875,C2,,False,C2,False,False
be498d596d001a27e59354b4,2,test,0.05,1/20,0.0,-0.0,0.0,-0.75,C2,,False,C2,False,False
aceb0d3593c700af4adbcc8d,2,test,0.05,1/20,0.0,-0.0,0.0,-0.75,C2,,False,C2,False,False
5ae9686b2322cc014d0e8632,2,test,0.05,1/20,0.0,-0.0,0.0,-0.375,C2,,False,C2,False,False
c24b5f29892d1ccf8422f763,2,test,0.05,1/20,0.0,-0.0,0.0,-0.5,C2,,False,C2,False,False
e407ee5e11f0ff289c34efd5,2,test,0.05,1/20,0.0,-0.0,0.0,-0.375,C2,,False,C2,False,False
9cd485e07946aad52a7cc147,2,test,0.05,1/20,0.0,-0.0,0.0,-0.375,C2,,False,C2,False,False
e9f05fe75c88441b733a09d4,2,test,0.05,1/20,0.0,-0.0,0.0,0.0,C1,,False,TIE,False,True
e63c2679ab3e89d4e802d84a,3,test,0.05,1/20,0.0,-0.0,0.0,-0.75,C2,,False,C2,False,False
442e60d8d0d535f4b573c7a7,3,test,0.05,1/20,-2.0,5.888877958332881,-5.888877958332881,-0.75,C2,False,True,C2,False,False
0ff72b047691745774c51423,3,test,0.05,1/20,2.0,-5.888877958332881,5.888877958332881,-0.375,C2,True,True,C2,True,False
f2f48ded9f910ae2ff431d0a,3,test,0.05,1/20,0.0,-0.0,0.0,-0.625,C2,,False,C2,False,False
db34ad68f359ace57c6e02a7,3,test,0.05,1/20,0.0,-0.0,0.0,-0.375,C2,,False,C2,False,False
bfb5c79b1bee5317106f707a,3,test,0.05,1/20,-2.0,5.888877958332881,-5.888877958332881,-0.375,C2,False,True,C2,False,False
7a2f6af2e28a399d121d8f5d,3,test,0.05,1/20,2.0,-5.888877958332881,5.888877958332881,-0.125,C2,True,True,C2,True,False
78fe6c8ac2e64f73f4eadf0b,3,test,0.05,1/20,0.0,-0.0,0.0,0.125,C1,,False,C1,False,False
0aa7584e700c6761e6b03603,4,test,0.05,1/20,0.0,-0.0,0.0,-0.25,C2,,False,C2,False,False
537b5a8884c01b5f458be72a,4,test,0.05,1/20,0.0,-0.0,0.0,0.0,C1,,False,TIE,False,True
72c3186e597a179ead4dd104,4,test,0.05,1/20,2.0,-5.888877958332881,5.888877958332881,0.125,C1,False,True,C1,False,False
