row_id,schedule,split,reliability,reliability_exact,delta_a,z_bayes,z_heuristic,margin,emitted_choice,emitted_correct,non_tie,logit_choice,logit_correct,emitted_logit_disagree
6c0d8719d9911c38a91b149e,6,test,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,-0.125,C1,True,True,C2,False,True
a36ae2ae244f4fbcc62df19d,14,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.0,C1,True,True,TIE,False,True
080315e512c1c1a9d8b60a7a,14,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.5,C1,True,True,C1,True,False
bb299bf076f0a80af4e15d61,16,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.25,C1,True,True,C1,True,False
a8ffa1593a09763953950b1d,33,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.375,C1,True,True,C1,True,False
9bebfeb7305031b9e03df256,50,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.0,C1,True,True,TIE,False,True
580217a66dbbfb1e61fcd15f,50,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.625,C1,True,True,C1,True,False
67e31d26d43094a7d68f0f60,60,train,0.05,1/20,-1.0,2.9444389791664407,-2.9444389791664407,0.375,C1,True,True,C1,True,False
9513acd4380f9344e62598d0,62,train,0.05,1/20,-2.0,5.888877958332881,-5.888877958332881,0.125,C1,True,True,C1,True,False
b02f29039774079a2bf1c977,1,test,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.0,C1,True,True,TIE,False,True
95cd64ec84d2e23623c6a165,6,test,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,-0.125,C1,True,True,C2,False,True
03e563d8adc7b85cbb9a3d4c,14,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.0,C1,True,True,TIE,False,True
18742d8f2e64767ac557066a,14,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.625,C1,True,True,C1,True,False
c77d1e6b1f56771c61273470,16,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.25,C1,True,True,C1,True,False
7973f6de334be693b1cc1597,31,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.0,C1,True,True,TIE,False,True
2680cccebd7c52147ae46b3f,33,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.5,C1,True,True,C1,True,False
7b37349990d26429ae934b33,50,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.125,C1,True,True,C1,True,False
8a908a6cfcfd11cc161b9a53,50,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.625,C1,True,True,C1,True,False
f5f70a2508d0f04cfcf7033f,60,train,0.15,3/20,-1.0,1.7346010553881064,-1.7346010553881064,0.375,C1,True,True,C1,True,False
b8ad7a82e37a0ee71ab7d981,62,train,0.15,3/20,-2.0,3.4692021107762128,-3.4692021107762128,0.25,C1,True,True,C1,True,False
7d83b88797727b2dd06bfb4f,14,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.5,C1,True,True,C1,True,False
98166544c5b9cbc89aa87d52,16,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.125,C1,True,True,C1,True,False
95a275407e28a1c398591cc7,33,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.375,C1,True,True,C1,True,False
893e87b397709ddb436a591b,50,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.25,C1,True,True,C1,True,False
55ee6d882997b3a05fb2c583,50,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.5,C1,True,True,C1,True,False
b6bbad4a1d3c10fb822df298,60,train,0.25,1/4,-1.0,1.0986122886681098,-1.0986122886681098,0.375,C1,True,True,C1,True,False
cf2f9f4cba3050fc9466ee50,62,train,0.25,1/4,-2.0,2.1972245773362196,-2.1972245773362196,0.125,C1,True,True,C1,True,False
67cbbb7b97c0f0588bd7e870,14,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.5,C1,True,True,C1,True,False
9561f027eac5fe27843c73c4,16,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.125,C1,True,True,C1,True,False
208ea828e1fe300017deb229,33,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.25,C1,True,True,C1,True,False
28469a60f60b396ab446e08a,50,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.125,C1,True,True,C1,True,False
739409aed879f80f6869dc87,50,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.5,C1,True,True,C1,True,False
e2ae9062328d02157a117e09,60,train,0.35,7/20,-1.0,0.6190392084062235,-0.6190392084062235,0.25,C1,True,True,C1,True,False
b77abbebe05ecd1a16374892,62,train,0.35,7/20,-2.0,1.238078416812447,-1.238078416812447,0.125,C1,True,True,C1,True,False
76b5e63aba6cd951777340c0,14,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.5,C1,True,True,C1,True,False
f312fcfc24d3545486aa2280,16,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.25,C1,True,True,C1,True,False
5c3fbee866140e39b98180b1,33,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.25,C1,True,True,C1,True,False
8a64b903a937b67a58e213c4,50,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.125,C1,True,True,C1,True,False
902ba421b29046d01372669d,50,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.5,C1,True,True,C1,True,False
897fce3746182c354a25d5cd,60,train,0.45,9/20,-1.0,0.2006706954621511,-0.2006706954621511,0.25,C1,True,True,C1,True,False
e5b7504256e1ac0f77507fde,62,train,0.45,9/20,-2.0,0.4013413909243022,-0.4013413909243022,0.125,C1,True,True,C1,True,False
